@relation Kriptoanaliza4
@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute klasifikacija {ENG, GRC, DUT, SPA}
@data
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.3636, 20.0000, 1.4000, 3.8257, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.2727, 19.0000, 1.3833, 4.0288, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 9.6000, 17.0000, 1.3833, 4.1516, ENG
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.8571, 20.0000, 1.3417, 3.8693, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.7273, 17.0000, 1.4000, 3.9661, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.0000, 17.0000, 1.4000, 3.9815, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 5.3750, 26.0000, 1.3667, 3.5981, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.4545, 19.0000, 1.4000, 4.0716, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 9.9000, 16.0000, 1.4000, 4.1443, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.7500, 16.0000, 1.3833, 4.1112, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.0000, 18.0000, 1.3833, 4.0637, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.1538, 16.0000, 1.4000, 3.9701, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.8182, 16.0000, 1.4000, 4.0221, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.2353, 18.0000, 1.3833, 4.0161, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.5455, 16.0000, 1.3917, 4.1409, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.6667, 17.0000, 1.4000, 3.9762, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.0000, 18.0000, 1.3333, 4.0248, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.2727, 17.0000, 1.3667, 4.0153, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 9.1000, 19.0000, 1.3500, 4.0712, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.4667, 20.0000, 1.4000, 3.8294, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.3636, 19.0000, 1.3500, 4.0008, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.4615, 19.0000, 1.4000, 4.0008, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 4.8500, 20.0000, 1.3833, 3.8210, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.8333, 20.0000, 1.3917, 3.9785, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.7857, 19.0000, 1.3417, 3.9297, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.2941, 17.0000, 1.4000, 3.9097, ENG
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.7059, 18.0000, 1.3917, 4.0244, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.0000, 18.0000, 1.4000, 3.9790, ENG
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.5455, 18.0000, 1.3917, 4.0279, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.5882, 20.0000, 1.3750, 3.8360, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.5625, 21.0000, 1.3750, 3.9715, ENG
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.1667, 19.0000, 1.4000, 3.9729, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.0833, 21.0000, 1.3583, 3.9468, ENG
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.2500, 17.0000, 1.3667, 4.0531, ENG
