@relation BinaryFileDataset

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {jpg,png,exe,pdf,dll,zip}

@data
4000,7.865658,1.00275,0.00125,0.34275,0.00975,0,141.356,135.368,143.208,144.96,140.01,143.234,136.982,142.698,jpg
4000,7.891258,1.00275,0.00425,0.33575,0.01375,0,132.188,137.83,136.758,134.732,131.006,131.006,137.246,132.494,jpg
4000,7.893699,1.00275,0.00425,0.3535,0.0155,0,134.954,134.094,137.026,130.762,133.094,133.94,132.102,138.558,jpg
4000,7.883718,1.00275,0.004,0.3355,0.0145,0,138.008,134.336,135.542,133.278,139.856,124.928,135.942,135.472,jpg
4000,7.915482,1.00275,0.004,0.34975,0.01475,0,135.664,134.37,132.754,130.264,131.334,129.87,124.97,133.716,jpg
4000,7.876142,1.00275,0.00225,0.351,0.01575,0,133.418,130.896,137.892,129.456,131.896,133.448,131.122,133.112,jpg
4000,7.854657,1.00275,0.00125,0.3475,0.00925,0,137.292,139.206,136.1,146.286,142.268,135.964,138.256,144.074,jpg
4000,7.850301,1.00275,0.003,0.3285,0.01775,0,137.146,136.648,132.698,131.634,134.918,132.756,140.016,132.188,jpg
4000,7.862739,1.00275,0.0045,0.3335,0.015,0,137.118,130.302,136.618,131.134,135.622,136.344,136.378,145.256,jpg
4000,7.866512,1.00275,0.003,0.338,0.01675,0,134.926,124.996,134.972,133.096,133.272,132.764,136.172,132.732,jpg
4000,7.882131,1.00275,0.004,0.34725,0.01775,0,131.254,138.21,126.448,128.728,129.944,133.338,135.044,132.404,jpg
4000,7.848286,1.00275,0.0015,0.3435,0.0085,0,138.486,145.454,139.944,140.808,136.664,134.89,143.19,143.62,jpg
4000,7.87583,1.00275,0.0025,0.32975,0.01825,0,136.13,128.016,136.9,138.418,133.852,131.826,138.594,138.476,jpg
