@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,54.4375,0.85124,1.288889,6.41315,0.801644,k1
0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,41.888889,0.847737,1.278788,6.408406,0.801051,k1
0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,30.086957,0.849693,1.272054,6.400108,0.800013,k1
0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,40.818182,0.851434,1.273737,6.403564,0.800445,k1
0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,51.055556,0.851889,1.273529,6.429722,0.803715,k1
0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,49.25,0.849398,1.298039,6.402093,0.800262,k1
0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,0.001842,51.388889,0.847492,1.272846,6.39402,0.799253,k1
0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,47.764706,0.849539,1.272846,6.400661,0.800083,k1
0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,42.619048,0.847959,1.270707,6.398401,0.7998,k1
0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,44.833333,0.848361,1.273737,6.420698,0.802587,k1
0.003419,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,53.058824,0.848516,1.272846,6.407177,0.800897,k1
0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,52.941176,0.85102,1.270707,6.412648,0.801581,k1
0.003591,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,49.333333,0.847782,1.376471,6.396678,0.799585,k1
0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,47.631579,0.850103,1.275902,6.401271,0.800159,k1
0.003591,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,48,0.850913,1.26791,6.418825,0.802353,k1
0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,44.666667,0.848269,1.269605,6.409115,0.801139,k1
0.003571,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,42.142857,0.850716,1.272054,6.393149,0.799144,k1
0.00354,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,32.318182,0.851086,1.293218,6.410275,0.801284,k1
0.003766,0.003766,0.001883,0.001883,0.001883,0.001883,0.001883,0.001883,0.001883,0.001883,36.909091,0.849585,1.319192,6.415231,0.801904,k1
0.003503,0.003503,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,46.052632,0.846465,1.266667,6.396802,0.7996,k1
0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,44.222222,0.849593,1.268687,6.413779,0.801722,k1
0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,44.5,0.847561,1.268687,6.387523,0.79844,k1
0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,43.833333,0.850716,1.272054,6.40907,0.801134,k1
0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,45.904762,0.85,1.270707,6.412063,0.801508,k1
