@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,48,0.846909,1.266937,6.414411,0.801801,k2
0.003273,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,51.777778,0.848963,1.269054,6.410793,0.801349,k1
0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,46.15,0.845015,1.269054,6.40173,0.800216,k2
0.008547,0.008547,0.008547,0.008547,0.008547,0.008547,0.008547,0.008547,0.008547,0.008547,28.333333,1.004717,1.733333,6.198641,0.77483,k1
0.008696,0.008696,0.008696,0.008696,0.008696,0.008696,0.008696,0.008696,0.008696,0.008696,31.666667,0.990566,1.733333,6.093497,0.761687,k2
0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,55,0.849261,1.268235,6.422416,0.802802,k1
0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,53.235294,0.848276,1.268235,6.427552,0.803444,k2
0.003344,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,52.833333,0.850294,1.373333,6.421564,0.802695,k1
0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,44.210526,0.845401,1.373333,6.407712,0.800964,k2
0.002193,0.002193,0.002193,0.002193,0.002193,0.002193,0.002193,0.002193,0.002193,0.002193,45.0625,0.861842,1.287179,6.400557,0.80007,k1
